experiment,psnr_baseline,ssim_baseline,mse_baseline,mae_baseline,psnr_restored,ssim_restored,mse_restored,mae_restored,delta_psnr,delta_ssim,delta_mse,delta_mae,lpips_baseline,lpips_restored,delta_lpips
autoencoder_both,25.600771273746133,0.788332998752594,0.0031240246761100074,0.04028868866398146,26.624110040852397,0.7848935723304749,0.0027762672367603763,0.03690014740354136,1.0233387671062637,-0.0034394264221191406,-0.0003477574393496311,-0.003388541260440102,0.3210086022552691,0.22380794643571503,-0.09720065581955409
autoencoder_fourier,25.600771273746133,0.788332998752594,0.0031240246761100074,0.04028868866398146,24.222438353519998,0.730943500995636,0.004258858113500632,0.04823977304132361,-1.3783329202261356,-0.05738949775695801,0.001134833437390625,0.007951084377342148,0.3210086022552691,0.3089257008151004,-0.012082901440168714
autoencoder_wavelet,25.600771273746133,0.788332998752594,0.0031240246761100074,0.04028868866398146,26.281164706348353,0.7825124859809875,0.0031878606593971582,0.04014391373646887,0.6803934326022194,-0.005820512771606445,6.383598328715085e-05,-0.0001447749275125948,0.3210086022552691,0.25731952488422394,-0.06368907737104518
restormer_both,25.600771273746133,0.788332998752594,0.0031240246761100074,0.04028868866398146,28.19599799391336,0.8089795112609863,0.002240377098419949,0.029405897287161725,2.5952267201672257,0.020646512508392334,-0.0008836475776900585,-0.010882791376819738,0.3210086022552691,0.2392300783019317,-0.08177852395333743
restormer_fourier,25.600771273746133,0.788332998752594,0.0031240246761100074,0.04028868866398146,25.50727210464942,0.7517220973968506,0.003274627075849199,0.040214404218683115,-0.09349916909671308,-0.03661090135574341,0.00015060239973919151,-7.428444529834766e-05,0.3210086022552691,0.27464194360532257,-0.046366658649946546
restormer_wavelet,25.600771273746133,0.788332998752594,0.0031240246761100074,0.04028868866398146,27.569958473538318,0.8096699118614197,0.002819562010699883,0.035649365181789586,1.9691871997921844,0.021336913108825684,-0.00030446266541012427,-0.0046393234821918775,0.3210086022552691,0.2509194147822104,-0.0700891874730587
